TES4
TES4, HEDR,Required 
TES4, CNAM,Required 
TES4, INTV,Required 
FACT
FACT, FNAM,Many 
FACT, EDID,Required 
FACT, VENC,
FACT, JOUT,
FACT, XNAM,Many 
FACT, DATA,Required 
FACT, VENV,
FACT, CRVA,
FACT, WAIT,
FACT, PLVD,
FACT, FULL,
FACT, VEND,
FACT, STOL,
FACT, PLCN,
FACT, CRGR,
FACT, RNAM,Many 
FACT, MNAM,Many 
FACT, JAIL,
FACT, CITC,
FACT, CTDA,
FACT, CIS2,
KYWD
KYWD, EDID,Required 
KYWD, CNAM,
GMST
GMST, EDID,Required 
GMST, DATA,Required 
ENCH
ENCH, EFID,Many 
ENCH, OBND,Required 
ENCH, EDID,Required 
ENCH, CIS2,Many 
ENCH, FULL,
ENCH, CTDA,Many 
ENCH, EFIT,Many 
ENCH, ENIT,Required 
AMMO
AMMO, OBND,Required 
AMMO, EDID,Required 
AMMO, KSIZ,
AMMO, DESC,Required 
AMMO, FULL,
AMMO, DATA,Required 
AMMO, KWDA,
AMMO, YNAM,Required 
AMMO, ZNAM,Required 
AMMO, MODL,
AMMO, MODT,
TREE
TREE, MODL,Required 
TREE, OBND,Required 
TREE, EDID,Required 
TREE, MODT,Required 
TREE, PFPC,Required 
TREE, FULL,
TREE, SNAM,
TREE, CNAM,Required 
TREE, PFIG,
DOOR
DOOR, MODL,
DOOR, EDID,Required 
DOOR, FNAM,Required 
DOOR, OBND,Required 
DOOR, VMAD,
DOOR, SNAM,
DOOR, FULL,
DOOR, MODT,
DOOR, ANAM,
DOOR, MODS,
ARMO
ARMO, EDID,Required 
ARMO, MOD4,
ARMO, OBND,Required 
ARMO, FULL,
ARMO, TNAM,
ARMO, MO4T,
ARMO, BIDS,
ARMO, MOD2,
ARMO, MO2T,
ARMO, YNAM,
ARMO, BODT,Required 
ARMO, ZNAM,
ARMO, RNAM,Required 
ARMO, KSIZ,
ARMO, KWDA,
ARMO, DESC,
ARMO, MODL,Many 
ARMO, DATA,Required 
ARMO, DNAM,Required 
ARMO, EITM,
ARMO, ETYP,
ARMO, BAMT,
ARMO, MO2S,
ARMO, MO4S,
ARMO, VMAD,
LCRT
LCRT, EDID,Required 
LCRT, CNAM,
GLOB
GLOB, FLTV,Required 
GLOB, FNAM,Required 
GLOB, EDID,Required 
AACT
AACT, EDID,Required 
DEBR
DEBR, EDID,Required 
DEBR, DATA,Many 
DEBR, MODT,Many 
NAVM
NAVM, ONAM,
NAVM, XXXX,
NAVM, NVNM,Required 
NAVM, NNAM,
NAVM, PNAM,
TXST
TXST, OBND,Required 
TXST, EDID,Required 
TXST, TX05,
TXST, DNAM,
TXST, TX00,Required 
TXST, TX01,
TXST, DODT,
TXST, TX03,
TXST, TX07,
TXST, TX02,
TXST, TX04,
CLAS
CLAS, EDID,Required 
CLAS, DESC,Required 
CLAS, FULL,Required 
CLAS, DATA,Required 
RFCT
RFCT, EDID,Required 
RFCT, DATA,Required 
HDPT
HDPT, MODL,
HDPT, EDID,Required 
HDPT, FULL,
HDPT, TNAM,
HDPT, NAM1,Many 
HDPT, MODT,
HDPT, DATA,Required 
HDPT, PNAM,Required 
HDPT, RNAM,
HDPT, NAM0,Many 
HDPT, HNAM,Many 
DUAL
DUAL, OBND,Required 
DUAL, EDID,Required 
DUAL, DATA,Required 
DIAL
DIAL, PNAM,Required 
DIAL, DATA,Required 
DIAL, QNAM,Required 
DIAL, FULL,
DIAL, SNAM,Required 
DIAL, BNAM,
DIAL, TIFC,Required 
DIAL, EDID,
EYES
EYES, ICON,Required 
EYES, EDID,Required 
EYES, FULL,Required 
EYES, DATA,Required 
IDLM
IDLM, OBND,Required 
IDLM, EDID,Required 
IDLM, IDLF,
IDLM, IDLT,
IDLM, IDLC,
IDLM, IDLA,
RACE
RACE, EDID,Required 
RACE, TINT,Many 
RACE, FNAM,Many 
RACE, FTSF,Many 
RACE, TINP,Many 
RACE, KSIZ,
RACE, DESC,Required 
RACE, INDX,Many 
RACE, FULL,
RACE, WNAM,
RACE, DATA,Required 
RACE, RPRM,Many 
RACE, KWDA,
RACE, HCLF,
RACE, ANAM,Many 
RACE, BODT,Required 
RACE, MNAM,Many 
RACE, LNAM,
RACE, MODT,Many 
RACE, MTNM,Many 
RACE, VTCK,Required 
RACE, RPRF,Many 
RACE, PNAM,Required 
RACE, UNAM,Required 
RACE, ATKD,Many 
RACE, DFTF,
RACE, MTYP,Many 
RACE, ATKE,Many 
RACE, NAM1,Required 
RACE, MODL,Many 
RACE, AHCF,Many 
RACE, GNAM,Required 
RACE, PHWT,Many 
RACE, NAM3,Required 
RACE, NAM4,
RACE, MPAV,Many 
RACE, NAM5,
RACE, SNMV,
RACE, SWMV,
RACE, NAM0,Many 
RACE, UNES,Required 
RACE, ONAM,
RACE, FLMV,
RACE, NAME,Many 
RACE, VNAM,Required 
RACE, QNAM,Many 
RACE, TINL,
RACE, HEAD,Many 
RACE, MPAI,Many 
RACE, AHCM,Many 
RACE, TINI,Many 
RACE, TIND,Many 
RACE, SPLO,Many 
RACE, TINC,Many 
RACE, TINV,Many 
RACE, TIRS,Many 
RACE, NAM8,
RACE, SPCT,
RACE, DNAM,
RACE, NAM7,
RACE, PHTN,Many 
RACE, WKMV,
RACE, RNMV,
RACE, SPED,Many 
RACE, FTSM,Many 
RACE, DFTM,
RACE, RNAM,
GRAS
GRAS, MODL,Required 
GRAS, OBND,Required 
GRAS, EDID,Required 
GRAS, MODT,Required 
GRAS, DATA,Required 
TACT
TACT, VNAM,Required 
TACT, FNAM,Required 
TACT, MODL,Required 
TACT, OBND,Required 
TACT, EDID,Required 
TACT, FULL,
TACT, MODT,
TACT, PNAM,Required 
INGR
INGR, MODL,Required 
INGR, OBND,Required 
INGR, EFID,Many 
INGR, EDID,Required 
INGR, KSIZ,
INGR, FULL,Required 
INGR, EFIT,Many 
INGR, ENIT,Required 
